time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-07-08 11:16:09.863 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,-1,-1, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1499512568747, , , , ,3145728, , , , ,47,3,93,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , , , ,1,16,17726008,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-07-08 11:16:09.894 UTC, ,125,3159645,952,13792, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1499512568747, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,18598568,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
2017-07-08 11:18:29.282 UTC, ,125,3157805,824,11952, , ,3, ,17,3,0.18, , , , , , , ,3,3, ,2, ,2,1,5, ,16,7, , , , , , , , , , , , , ,1996,2, ,1293, , , , , ,36,36, , , , , ,1,31, , , , , , , , , , , , , , , , , , , , , , , , ,1499512708423, , , , ,3145728, , , ,15,0, , , ,2, , , ,3, , , , ,15, ,2048,1, , , , ,100759,26, , , , , , , , ,1,20,18662968,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-07-08 11:18:35.567 UTC, ,22173,23902829,1160,20734928, , ,1665, ,212587, , , , , , , , , ,1665,18, , , ,1676,1,5, ,4,2, , , , , , , , , , ,196390, , ,1996,2, ,1293, , , , , ,83,83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1499512708423, , , , ,3145728, , , ,2,439, ,439, ,5, , , ,3,1, , , ,2,1, , ,38,1, , ,8252,6,16288001,16, , , , ,3,830,12,1336,234606064,-1, , , , , , ,210930, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,210924, , , , , , , , , , , 
2017-07-08 11:19:17.853 UTC, ,250,3163290,1472,17200,112, ,4, ,858,4,0.00, , , , , , , ,4,4, ,4, ,3,1,7, ,851,10, , , , , , , , , , , , , ,4301315159,4,16347211,4301314507,1, ,2,4, ,83,83, , , , , ,775,83308, , , , , , , , , , , , , , , , , , , , , , , , ,1499512756163, , , , ,3145728, , , ,19,47,1,47,1,6,1, , ,3,2, , , ,19,1,40674,12,783,1, , ,12832833,1579, , , , , , , , ,2,22,33653568,-1, , , , , , ,850, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-07-08 11:19:19.597 UTC, ,250,3168146,1472,22168, , ,5, ,1,1,1.00, , , , , , , ,5,6, , , ,6,1,10, ,1,1, , , , , , , , , , ,1,1, ,4301315159,4,16347211,4301314507, , , , , ,83,83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1499512756163, , , , ,3145728, , , ,4,0, , , ,1, , , ,3, , , , ,4,2,8192,4, , , , ,53,1, , , , , , ,2,526,4,174,197873856,-1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2017-07-08 11:44:12.459 UTC, ,250,3162538,1472,16560, , ,4, ,833,4,0.00, , , , , , , ,4,4, ,2, ,4,1,7, ,834,11, , , , , , , , , , , , , ,4301315901,5, ,4301315326, , , , , ,83,83, , , , , ,775,83324, , , , , , , , , , , , , , , , , , , , , , , , ,1499514250839, , , , ,3145728, , , ,21,0, , , ,3, , , ,3, , , , ,21, ,24819,10, , , , ,12769456,1572, , , , , , , , ,2,79,32268576,-1, , , , , , ,824, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-07-08 11:44:38.531 UTC, ,250,3162538,1472,16560, , ,4, ,835,4,0.00, , , , , , , ,4,4, ,2, ,4,1,7, ,836,12, , , , , , , , , , , , , ,4301315901,5, ,4301315326, , , , , ,83,83, , , , , ,775,83324, , , , , , , , , , , , , , , , , , , , , , , , ,1499514276208, , , , ,3145728, , , ,22,0, , , ,4, , , ,3, , , , ,22,1,26867,11, , , , ,12769487,1573, , , , , , , , ,2,48,31990656,-1, , , , , , ,827, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-07-08 11:44:38.531 UTC, ,250,3162538,1472,16560, , ,4, , , , , , , , , , , ,4,4, , , ,4,1,7, , , , , , , , , , , , , , , , ,4301315901,5, ,4301315326, , , , , ,83,83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1499514276208, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,33141024,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-07-08 11:44:57.380 UTC, ,250,3162618,1472,16560,80, ,4, ,834,4,0.00, , , , , , , ,4,4, ,2, ,4,1,7, ,835,12, , , , , , , , , , , , , ,4301315901,5, ,4301315326, , , , , ,83,83, , , , , ,775,83324, , , , , , , , , , , , , , , , , , , , , , , , ,1499514295693, , , , ,3145728, , , ,22,0, , , ,4, , , ,3, , , , ,22,1,26867,11, , , , ,12769487,1573, , , , , , , , ,2,16,31839560,-1, , , , , , ,826, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
